2026-07-06 03:52:31,391 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\legacy.py', reloading
2026-07-06 03:52:31,467 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\md.py', reloading
2026-07-06 03:52:31,467 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\md.py', reloading
2026-07-06 03:52:31,493 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\models.py', reloading
2026-07-06 03:52:31,493 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\models.py', reloading
2026-07-06 03:52:31,533 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\utils.py', reloading
2026-07-06 03:52:31,533 | INFO     | werkzeug |  * Detected change in 'C:\\Users\\HP\\Downloads\\smartretry_screenshots_final\\.venv\\Lib\\site-packages\\charset_normalizer\\utils.py', reloading
2026-07-06 03:52:31,665 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-07-06 03:52:31,667 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-07-06 03:52:32,078 | INFO     | database.db_manager | Database initialized at C:\Users\HP\Downloads\smartretry_screenshots_final\database\framework.db
2026-07-06 03:52:32,101 | INFO     | database.db_manager | Database initialized at C:\Users\HP\Downloads\smartretry_screenshots_final\database\framework.db
2026-07-06 03:52:32,104 | WARNING  | werkzeug |  * Debugger is active!
2026-07-06 03:52:32,114 | INFO     | werkzeug |  * Debugger PIN: 106-337-974
